127.0.0.1 - - [23/Apr/2025:09:16:47 +0530] "GET / HTTP/1.1" 404 754
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:16:47 +0530] "GET /Job_Portal/home.jsp HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:16:48 +0530] "GET /favicon.ico HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:17:30 +0530] "GET /Job_Portal/adminLogin.jsp HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:17:41 +0530] "POST /Job_Portal/AdminController HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:17:47 +0530] "POST /Job_Portal/AdminController HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:17:51 +0530] "POST /Job_Portal/AdminController HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:17:53 +0530] "POST /Job_Portal/AdminController HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:22:37 +0530] "GET /Job_Portal/adminLogin.jsp HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:25:14 +0530] "GET /Job_Portal/adminLogin.jsp HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:25:28 +0530] "GET /Job_Portal/adminLogin.jsp HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:25:41 +0530] "GET /Job_Portal/adminLogin.jsp HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:26:03 +0530] "GET /Job_Portal/adminLogin.jsp HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:26:16 +0530] "GET /Job_Portal/home.jsp HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:28:44 +0530] "GET /Job_Portal/home.jsp HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:28:45 +0530] "GET /Job_Portal/home.jsp HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:28:55 +0530] "GET /Job_Portal/home.jsp HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:29:02 +0530] "GET /Job_Portal/adminLogin.jsp HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:29:22 +0530] "GET /Job_Portal/adminLogin.jsp HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:29:29 +0530] "GET /Job_Portal/jobSeekerRegistration.jsp HTTP/1.1" 200 6258
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:31:22 +0530] "GET /Job_Portal/jobSeekerRegistration.jsp HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:31:25 +0530] "GET /Job_Portal/userLogin.jsp HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:31:39 +0530] "GET /Job_Portal/userLogin.jsp HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:31:41 +0530] "GET /Job_Portal/userLogin.jsp HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:31:49 +0530] "GET /Job_Portal/jobSeekerRegistration.jsp HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:32:27 +0530] "GET /Job_Portal/jobSeekerRegistration.jsp HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:32:47 +0530] "GET /Job_Portal/jobSeekerRegistration.jsp HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:33:14 +0530] "GET /Job_Portal/jobSeekerRegistration.jsp HTTP/1.1" 200 6717
